col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,area_code_408,area_code_415,area_code_510,churn
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4154589371980676,0.0,1.0,0.7000000000000001,0.5780068728522336,0.7307692307692307,0.5781597573306371,0.6819357222016994,0.4766355140186915,0.681877444589309,0.4401805869074492,0.03738317757009341,0.43979933110367897,0.818840579710145,0.6000000000000001,0.8198924731182797,0.3333333333333333,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5410628019323671,0.0,0.0,0.0,0.7243986254295532,0.576923076923077,0.7245702730030334,0.722571111932028,0.8691588785046729,0.7222946544980443,0.5139202407825433,0.6448598130841121,0.5133779264214047,0.5289855072463768,0.2,0.5295698924731185,1.0,0.0,0.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.357487922705314,0.0,0.0,0.0,0.9298969072164949,0.5576923076923078,0.9302325581395349,0.45696342814924273,0.6355140186915889,0.4567579313342025,0.6309255079006773,0.6542056074766354,0.6304347826086957,0.36956521739130443,0.5,0.3709677419354838,0.0,0.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5700483091787439,0.0,1.0,0.7250000000000001,0.28625429553264603,0.17307692307692313,0.2863498483316481,0.7111193202807538,0.6261682242990654,0.7109952194697957,0.300601956358164,0.2803738317757009,0.3001672240802675,0.30434782608695654,0.30000000000000004,0.30376344086021506,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4347826086956521,0.0,0.0,0.0,0.340893470790378,0.2596153846153846,0.3409504550050556,0.4839305504248247,0.37383177570093457,0.48370273794002616,0.800601956358164,0.40186915887850466,0.8001672240802674,0.18115942028985513,0.2,0.18010752688172044,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2801932367149758,0.0,0.0,0.0,0.2903780068728522,0.6826923076923078,0.29039433771486345,0.25932766900628,0.6355140186915889,0.2590178183398522,0.8686982693754705,0.27102803738317754,0.8687290969899665,0.4057971014492754,0.6000000000000001,0.4059139784946237,0.6666666666666666,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32850241545893716,0.0,0.0,0.0,0.722680412371134,0.2692307692307693,0.7229524772497472,0.0476542297746583,0.4953271028037382,0.047370708387657556,0.5835214446952597,0.5233644859813082,0.5836120401337792,0.4782608695652174,0.30000000000000004,0.47849462365591405,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.0,1.0,0.7250000000000001,0.2635738831615121,0.40384615384615385,0.2634984833164813,0.735869966752863,0.4766355140186915,0.7357670578009561,0.5906696764484575,0.7663551401869158,0.5903010033444815,0.4057971014492754,0.6000000000000001,0.4059139784946237,0.3333333333333333,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5169082125603864,1.0,0.0,0.0,0.35326460481099664,0.1923076923076923,0.35328614762386246,0.2936830439601036,0.4392523364485981,0.29335071707953064,0.6433408577878104,0.514018691588785,0.6429765886287626,0.39855072463768126,0.1,0.39784946236559143,0.3333333333333333,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3043478260869565,1.0,1.0,0.8250000000000001,0.3185567010309278,0.4326923076923077,0.3185035389282104,0.3642408570373108,0.5327102803738317,0.36418948283355057,0.6760722347629797,0.5887850467289719,0.6755852842809366,0.3405797101449275,0.4,0.34139784946236557,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4009661835748792,1.0,0.0,0.0,0.9103092783505153,0.22115384615384615,0.9106167846309402,0.5038788326560769,0.38317757009345793,0.5036940460669274,0.4860797592174567,0.40186915887850466,0.4857859531772575,0.2318840579710145,0.7000000000000001,0.23118279569892475,0.6666666666666666,1.0,0.0,0.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6859903381642511,0.0,1.0,0.8250000000000001,0.7034364261168384,0.5865384615384616,0.7035389282103134,0.6324344292574807,0.6074766355140186,0.6323337679269883,0.33333333333333337,0.45794392523364486,0.33277591973244147,0.44202898550724645,0.4,0.4435483870967742,0.3333333333333333,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.681159420289855,0.0,1.0,0.55,0.6525773195876289,0.6346153846153847,0.6527805864509605,0.3018101219061693,0.5514018691588785,0.30160799652325077,0.6534988713318285,0.48598130841121484,0.653010033444816,0.39130434782608703,0.2,0.39247311827956993,0.3333333333333333,0.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41062801932367143,0.0,0.0,0.0,0.32233676975945025,0.701923076923077,0.32234580384226486,0.490579977835242,0.42990654205607476,0.4902216427640157,0.26598946576373217,0.9906542056074765,0.2658862876254181,0.6376811594202898,0.5,0.6370967741935485,0.3333333333333333,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.32850241545893716,0.0,0.0,0.0,0.37491408934707904,0.3846153846153847,0.37492416582406474,0.28629479128186197,0.3644859813084112,0.2859626249456758,0.47516930022573367,0.34579439252336447,0.47491638795986624,0.5362318840579711,0.5,0.5376344086021505,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7777777777777777,0.0,0.0,0.0,0.4900343642611683,0.798076923076923,0.4901921132457028,0.18618396749168822,0.7009345794392523,0.18600608431116905,0.32317531978931524,0.3925233644859813,0.32274247491638797,0.22463768115942032,0.6000000000000001,0.22580645161290325,1.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.47826086956521735,0.0,0.0,0.0,0.2707903780068729,0.46153846153846156,0.270778564206269,0.4935352789065387,0.3925233644859813,0.49326379834854417,0.8156508653122648,0.4392523364485981,0.8152173913043478,0.6014492753623188,0.2,0.6021505376344087,0.3333333333333333,0.0,1.0,0.0,1.0
